valence,arousal,text
positive,excited,@tiffanyq swimming and tanning was heaven! i blasted music while tanning and was in my own world. 
positive,excited,"@revious aww, you don't suck.  OMG YES! PRIMUS!"
negative,subdued,@revious It's been sitting in some rice but I don't think it's going to do the trick 
positive,subdued,@revious thanks  if I can figure out what they look like I might have a handful.
negative,subdued,@Revisionista routine - hmm  but i did get in 3 hrs of study time. gonna work on my stmt of purpose some this evening too.
positive,subdued,@Revit3D Read the manual ovr+ovr. Use the Colo. USGBC practice test. Make a sprdsht of all credits and info. Read book again. Workd 4 me 
positive,excited,@revitalizenow Dominoes!!  although Papa Johns has great hot peppers!  
positive,excited,@RevivalHouse You should! The more the merrier  x
negative,subdued,They found the little boy who was missing from the Rio Grade..  my prayers are with his family.
negative,excited,They gave me a regular coke instead of diet. Really?? 
positive,excited,they get organized for the summertour 2009 and summerholidays  !!!
positive,excited,they give out free churros at Del Taco?!?!  haha I was grubbing and practically full then a worker just gave me a free churro hahaha
negative,excited,they goin out and i'm jealous! i wanna go out on a date too! 
positive,excited,THEY GOT THEIR ANSWERING MACHINE MESSAGE! I can go to bed happy. 
negative,excited,they got to be kidding!!!! I didnt win that contest  anyway I still think mine is better its all about self believing
negative,excited,They had what it takes to make it through forever. But why did they have to end it?! Makes me sad.  GOOD NIGHT Ã¼
negative,subdued,They hate me.. 
positive,subdued,they have a myspace as well....NKOTB is their top friend....imagine that. 
negative,excited,They have a Sorting Hat special interest group?? It better be what I think it is. I didn't get the booklet in the mail. 
positive,excited,They have been announcing the 'final' boarding call for some flight for an hour now. International flights are cool  #Fiji
negative,excited,They have begun directing all decision calls/e-mails to me. They don't even cc: my boss anymore.  I don't want him to leave.
positive,subdued,they have footy tipping at work experience place 
negative,excited,"they have the bruins game on here. I can see the tv, but not really. "
negative,excited,They have to squeeze in all this stuff right at the end  Maybe they'll let it run over a bit? #Tonys
negative,excited,they have wifi in the terminal. Otherwise I won't be tweeting again until LATE tues nite from texASS. Bah.. I'm gonna miss my Luke.. 
negative,excited,"They haven't posted in ages, and this is what I get - http://bit.ly/NVgKa    "
negative,subdued,they ignoring me 
negative,excited,"They just called my cat &quot;the mean cat&quot; and thought I couldn't hear!  She's not mean, just sad &amp; hurt. I'd be angry too!"
negative,subdued,They just had to put my dog down 
positive,excited,They just played Self Against City on MTV!!!!! OMG!!!! That's awesome!!!! 
negative,excited,They just said that fans are heading for the exits... as @paigeiam would say... sad panda 
positive,excited,"they just showed ballots where people ONLY voted for George Lee. That's awesome, delighted to see them.  "
positive,excited,They just started to play it's always sunny in Philadelphia right now. My day has improved significantly!! 
positive,subdued,"they just upgraded em, nows a good time. apple.com "
negative,excited,I believe it is my man's bday today...best rapper of all time...tupac! Rip mang 
negative,subdued,"i believe it's six, going on seven now. "
negative,excited,I believe Marley died 'cause of old age. I am afraid my dog might suffer too. 
negative,subdued,I believe my iPod may be toward the end of its life cycle. Battery holds 6 hour charge maybe and the pixels are dying. 
positive,subdued,I believe my next metaphysical post will be about how to use the duality of &quot;create and destroy&quot; in your life. 
positive,excited,I believe profits for this month will be the biggest bank wire transfer yet ever 
negative,excited,i believe the problem the past year with meeting decent people who actually want to be with me for reals is because i lost my sparkle. 
positive,excited,I believe this security line at Paris-CDG could be more efficient  Excited to be heading home today.
positive,excited,I believe today is going to be a lazy day with a little bit of scrap-booking involved. 
negative,excited,I believe tomorrow will be the first birthday I have ever worked on. 
negative,subdued,I believe Webdevforums.com has been hacked. 
positive,excited,I beliiiieve I can FLY !!  lmao
positive,excited,i best tidy upp my head im the only one in love...and when yur the only one in love...it should be with yourself 
negative,subdued,I bet $15. on a horse and lost!   I guess I'm not good at picking horses...
positive,excited,i bet a band is not gonna sing 'happy birthday' to you at their show  &amp;&amp; its acoustic too!
negative,excited,"I BET BLACK PLANET, LOL, I DIDNT HAVE A PROBLEM WITH IT, BUT SHE WAS UGLY. "
negative,excited,I bet Denny Hecker has a better credit score than me  Probably should have put college on a credit card or something 
positive,subdued,I bet God gets a lot of prayer requests for a million dollars 
positive,excited,"I bet I live in a  1000 times more beautiful then you do  &lt;3 Kodiak, Alaska, and 4 am sunrises  and  i miss you so much Steven."
negative,excited,i bet it's a childhood trauma. maybe her first crush was a fag  lololol oh pale
positive,excited,i bet my to-do list is more colorful than yours!  green/blue/red/black/purple ink. pink/yellow/orange/blue/green highlighter. and GOoO!
negative,excited,i bet my x roomate is pissed cuz the cavs just lost 
negative,excited,I bet no one would be surprised if I got an ipod touch lolol you shouldn't text or call me yet I am having problems with the system 
negative,subdued,I bet that now since I'm on nothing awesome will happen 
positive,excited,I bet that Steve Jobs will make a cameo tomorrow through a videoconf with the new Iphone video - he dicho 
positive,subdued,"I bet you don't do what I do on Friday night. Regardless of what you do, I'd much rather do what I do. "
positive,excited,i bet you that andy is just sitting there pissing himself while BRADIE  and shaun are fighting lol  lol gotta love them 
negative,excited,I bet you. I'm not going to sleep to night. 
negative,subdued,I better be able to sleep tonight. This insomnia is getting old. 
negative,excited,"I better be better by Thursday! I need to go to Regina. NEED TO! I'm so excited, so my sickness better not ruin it "
negative,excited,i miss south dakota  but im loving home too!!
negative,excited,yup all alone on my bday   happy bday every1 born on the 5th of June!
negative,excited,yup four more days to they get back and six more to i go home  dang the last weeks is like draging on   
negative,subdued,yup gots a headache 
positive,excited,Yup it gross. Disgusting. Anything with almonds is disgusting. 
positive,excited,"yup its going to be @TaqiyyaLuvLa @10marion @officialTila @Tyrese4Real @Willie_Day26 @souljaboytellem and many more tonight,fun...  lol jk"
positive,excited,"Yup str8 set up, reality tv, ha! I still love it tho "
positive,excited,yup that worked. my names are back in flock. yea!  Not what are you all up to? hmmmm...
positive,subdued,Yup thats the 1 
negative,excited,yup the crying has started. Finished part I and it's sooo sad 
negative,excited,"Yup! So, they did take my phone. But, it will be w them for a week! "
positive,excited,"Yup, go that presentation. SOooooo not happening... O Having fun, tho "
negative,excited,"Yup, I was right. I'm a sick girl, damn "
positive,excited,"Yup, I've got it  It's fun, but there're a couple annoying bugs. Hopefully it'll get fixed soon "
negative,subdued,"Yup, Jr's collarbone is broken  I can tell he is in a lot of pain. We are staying in tonight to care for him and clean up the house"
negative,subdued,"yup, my cat is still stranded  she's just sitting on the table, sleeping, waiting for the rain to pass ("
negative,excited,"Yup, needed the tissues for BSG but not quite in the way I thought. I'm just kind of blank &amp; numb &amp; confused... Don't be over show!!! "
negative,subdued,"Yup, SPORE is updating now "
positive,subdued,youtube videos are keeping me entertained 
negative,excited,youtube wont let me change my damn icon! 
negative,subdued,youtube won't let me upload my video 
positive,excited,"youtube, cheered me up  thanks to weird boys."
negative,excited,youtube. you're eating all of my time. 
positive,subdued,Youtube: I've been watching my subscribers new vids. There's a great one called we sing the forest electric: http://is.gd/RIcd It's funny 
negative,excited,"Youtube's trying to break me, I swear. Must they take down ALL my videos? And they're all the ones I don't have saved to my laptop! Ughh! "
negative,subdued,"Youtube's tubes appear to be clogging up somewhat today, connection errors a plenty. "
negative,subdued,"Youtubing randomly, on the boards, and my computer is acting slow. "
positive,excited,"You've all been a delightful distraction this morning, but I must get some words written. ...  Have a great Saturday!"
negative,excited,"you've always been this way since high school, flirtacious and quite loud â™ª i miss busted, best band ever  â™¥"
positive,excited,"you've bought the dvd, @cathybells?? Good for you! Enjoy! "
positive,excited,you've got a smile that could light up this whole town 
positive,excited,'you've got me poppin' champagne i'm at it again caught up in the moment but not in the right way' okay im excited now 
positive,excited,you've got to love joanna lumley
positive,subdued,You need more details in the review  Robert L. http://tinyurl.com/qahkqp
negative,subdued,"You need to remember the data the customer has entered on previous pages when they use the back button. So, so many don't do this "
positive,subdued,"You nerds and your video games. The only video games I need are Harvest Moon, The Sims, and Guitar Hero. "
negative,subdued,You never know how much you say um until you hear yourself in a message. 
negative,subdued,You never realize how much you'll miss someone until they are leaving or have already left...5 days until goodbye..Im gonna miss him 
negative,excited,you never thought that a bitch like me would fuck you up. &gt; 
positive,excited,You new trainer wants to video blog my new workouts! Feeling a bit nervous about that...LOL  I'll keep you guys posted.
negative,excited,"you people are missing the point here, instead of @god loosing followers he's GAINING! over 50 new ppl in 6 hours "
positive,excited,you people are still here? haha! 
negative,subdued,You people haVe no idea how depressing it is being at a steakhouse and not being able to eat 
positive,excited,You probably have never listened to Lemon Jelly. You should. &quot;Tune for Jack&quot; and &quot;Page One&quot; are two phenominal tracks. Good afternoon 
negative,subdued,"you promised me, and you never called. "
negative,subdued,You realize the importance of mom and sis only when they are not near you 
negative,excited,You really feel like crap when you miss a meeting update and  don't go b/c you missed the time change... 
positive,excited,"you really make me want to puke. you have absolutely NOTHING, you just don't realize it yet. "
positive,subdued,@BeanaB ill be back saturday 
positive,excited,@beaney Hey! Sorry it took me so long to find you and follow you  How have you been since webdu?
negative,subdued,@beanfree dude. your going to be so constipated. im sorry 
negative,subdued,@beangirl2010 i totally would. but im working 
positive,excited,"@beanie Wow, I thought 1am was bad ... Time to get the caffeine IV drip going STAT! "
negative,subdued,@beanie_boy AW that is so sad.  I'm so sorry to hear that. I hope they find him.
negative,excited,@beanie612 i just saw your message  Im sorry - def movie night ASAP!!!!
negative,subdued,"@Beaniebaby1 Really am so sorry, not an easy thing to do I know. Especially when they've been part of your life for so long "
negative,subdued,@Beaniebanks *peeks out of window* It's thinking about it judging by the look of the sky 
positive,excited,@Beaniebanks busy! It's the first weekend of summer vacation for my kids and they think they need to do everything this weekend! LOL. 
negative,excited,@Beaniebanks Me too!... so dangerous.. My local news agents asked me if i wanted a Whole box from cash &amp; carry cheap.. I had to say no! 
positive,subdued,"@Beaniebanks thanks, i made that after you said about liking johnny depp style necklace, so thanks for insipartion "
positive,excited,"@Beaniebanks Whine away, it is better to share.  Sending hugs "
negative,excited,@Beaniebanks Yucky! lol.  Thanks for asking.  Wasn't like this with my other two   No fair!  How are you?
negative,excited,"@BeaniesAndBows yeah, i am in the itchy stage.  i just want to scratch all over.  I look like a lobster "
negative,excited,"@beaniq ooohhh.. wag naman sana..  if you find time, read okay?  ingats!"
positive,excited,"@BeanJuce you too, seems like you're halfway there already, great news "
positive,subdued,@BeanMonkey Very early days but me like 
positive,subdued,@beano_mike we'll compare psych bills for our kids when we're 80 
positive,excited,@BarbaraDelinsky --- Twilight Whispers is awesome! 
positive,subdued,@barbarag if I can get off that night I'll watch them 
positive,subdued,"@BarbaraHoward  launched www.ChristianTeenBiz.com, if you know anyone that might be interested, pls pass it along, thanks "
positive,subdued,"@BarbaraJWalters  Yep, your coming in loud and clear "
positive,excited,@BarbaraJWalters A!! B.W. WATS SHAKIN !!! FLEE  ...SIGNATURE ON DECK
positive,excited,@BarbaraJWalters haha@ur comment ur losing your twitter virginity!! i bet that was fun saying that word again  LUV U Barbara!! xoxo
positive,subdued,@BarbaraJWalters yep it sure is 
positive,excited,"@barbarakautz seriously took so much effort, twitter did not want us to be friends  thursday is so soon!"
positive,excited,@BarbaraNixon THAT was a GREAT AMP JOKE.. Thanks for sharing 
positive,excited,@barbararae THANKS YOU VERY MUCH 
positive,subdued,@barbaraslavin I think having a certain someone here might make it just a bit better. 
positive,excited,"@BarbAtSea You're very welcome -- if there's ever anything we can do to be of help, don't hesitate to let us know!  #Maine #Xerces"
positive,subdued,@barbd00 I would love some strawberries  (and if you have any too smooshy for people the turtles could help. lol)
negative,excited,"@BarbEarly So Buffalo plays second fiddle to the third world. How sad for you.  And me, too. ("
positive,excited,"@barbetti Yes, finally got around to it. "
positive,excited,"@barbfh   OMG - you are decadent, girl!   "
positive,subdued,@barbfh You make that location so utterly desirable in less than 140 characters. 
positive,excited,"@barbhogan  Looks like your boys are playing like champions tonight. Well done. Grrr, but well done all the same. "
positive,excited,"@barbhogan I'm sore, but not as bad as I expected! stairs are brutal (down more then up) and occaisonal twinges/cramps... but I'll live! "
positive,subdued,@BarbHud Poppie graduates this week 
positive,subdued,@Barbi213 &quot;me&quot; is the best way to be...Loving the &quot;me&quot;vibe 
negative,excited,@barbibegarie Lucky u! U get to watch it. Don't know how long I've to wait.... 
positive,subdued,@BarbieBibiana awww well atleast you two made up 
positive,excited,@BarbieBibiana chellooooo !! I've heard so much about you 
negative,excited,"@BarbieBibiana jus waking up with like a WHOLE BED of clothes to fold up, so i guess im occupied for the next hour "
negative,subdued,@barbiebrittania i dont think im gonna go out tonight. i cant find anything to wear and i dont feel good. 
positive,excited,@Barbiechick3004 2moro morning very earlie  XX
positive,excited,@Barbiechick3004 Aha that my love is a secret you will learn in a few weeks lol  XX
negative,subdued,@barbiedi0r @cocojeezy @calidro @nicelookneesh @taygotthejuice @caroliinablu will miss u guys 
positive,subdued,@barbiedressmeup Ya I can't say which is kinda silly but lets just say we have plenty 
positive,excited,"@barbiegirl20 chill with me  &amp; ya hulk &amp; brooke r close, wayyy to close, u know he rubs tanning oil on her ass, his daughters ass! eww lol"
positive,subdued,@BarbieMartini thanks boo! Wish u could have came 
positive,subdued,@BarbieRN I was showing @bullysaurus every place we photographed with you and @aarondieppa  miss you two! How is he?
positive,subdued,@Beanopolis I just took Sept 28th to Oct 6th for my vacation 
negative,excited,@beanpie87 Yes you were... and I will tell you that I am still upset that you shirked your responsibility. 
negative,subdued,@BEANS4REEL since 8 but thats normal for me i jus didnt sleep really last night 
positive,subdued,@beansjr Its official for me as well. Im getting baptised same DC as Jessica. Finished my third set today and no elder objected 
negative,excited,@BeansOnToasted NOOOOO I hate traffic 
negative,subdued,#CBC Radio can do without the sports news - Like listening to paint dry - Any other station can cover the lowest common denominator #cdnpoli
positive,subdued,Put your fingers in ice water immediately after painting your nails.  The paint will dry instantly.
negative,subdued,"Sleep, concerts, teeth brushing, socks, laundry, watching paint dry, counting the popcorn on the ceiling. #thingsmoreimportantthancalc"
positive,subdued,"Once your mind is calm and full of love, there is no room for hatred or fear. Others will trust you because of your open heart."
positive,subdued,"Whether or not we follow any particular spiritual tradition, the benefits of love and kindness are obvious to anyone."
positive,subdued,The capacity to devote yourself to the welfare of others yields otherwise unobtainable power and potential for good.
negative,subdued,"Disturbing emotions not only disturb our own state of mind, they also disturb the minds of others."
negative,subdued,Compassion is a feeling from deep in the heart that you cannot bear someone else's suffering without taking steps to relieve it.
positive,subdued,"Let there be work, bread, water and salt for all. - Nelson Mandela #quotes"
negative,subdued,"After climbing a great hill, one only finds that there are many more hills to climb. Nelson Mandela #quotes"
negative,subdued,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear."
positive,subdued,"A good head and good heart are always a formidable combination. But when you add to that a literate tongue or pen, then you have something very special."
positive,subdued,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others."
negative,subdued,Resentment is like drinking poison and then hoping it will kill your enemies.
negative,subdued,Lead from the back - and let others believe they are in front.
negative,subdued,"I am not a saint, unless you think of a saint as a sinner who keeps on trying."
positive,subdued,"Do not judge me by my successes, judge me by how many times I fell down and got back up again."
negative,subdued,In my country we go to prison first and then become President.
negative,subdued,"A Nation should not be judged by how it treats its highest citizens, but it's lowest ones"
positive,subdued,There can be no keener revelation of a society's soul than the way in which it treats its children.
positive,subdued,"Sometimes it falls upon a generation to be great, you can be that generation"
positive,subdued,"Live life as though nobody is watching, and express yourself as though everyone is listening."
positive,subdued,"It is what we make out of what we have, not what we are given, that separates one person from another."
negative,subdued,My radio doesn't want to work this morning. It's too quiet without it. 
negative,subdued,My rainy night chick flick turned into a snooze on the couch. Oh well...maybe another night....Off to cancel a David's Bridal BM dress. 
positive,subdued,My random clicking around after saying I was going to bed only lasted a minute or so 
negative,subdued,My rats sick again 
negative,subdued,"My red, Apache isn't feelin too well this morning..  http://mypict.me/49n5"
positive,subdued,"My regex days are over, thanks to Roy Osherove and Joshua Flanagan - Linq to RegEx + Readable Regex : http://tinyurl.com/6hd8s8 - nice. "
negative,subdued,My relatives are in Manhattan and I'm not   So not cool.
positive,subdued,"My Report Was: English: B-, Modern History: A-, Geography: B, Maths B: B-, Accounting: A and IPT: A      "
positive,subdued,My REST and semantic web talks at QCON are up as videos on InfoQ now.  Cool.  That was a long week 
negative,subdued,My retainer feels weird 
negative,subdued,My 'Return of the King' (Tolkien) book hidden in my hotel room was magically turned into 'The Holy Bible' while I was away at work. 
negative,subdued,My return to Carb Day is being delayed by a bum air conditioner. 
negative,subdued,my review still hasnt got posted yet.. 
negative,subdued,My right ear is throbbing. 
negative,subdued,"my right eye hurts with my contact lense,so i removed it &amp; have to deal with the older look of the eyeglasses "
negative,subdued,"My ring finger has swollen, might have to have my wedding and engagement rings cut off  fb#"
positive,subdued,My ring I ordered online came today but they gave me the wrong order. =/ Good news they will replace it and have me real order in 1 week. 
positive,subdued,My room is almost back to normal and the computer room is now my studio 
positive,subdued,My room is in a different part of the house now. That's a good thing at least. 
positive,subdued,"my room looks more suitable, maybe ill decide 2 take a pic of it morrow so u guys can see. fit for an edgy princess/warrior/lone wanderer "
negative,subdued,My Roomba isn't really working correctly. It's just smearing the dog fur around on the carpet instead of picking it up... 
positive,subdued,"My roommate 20 feet away called me to ask if I wanted to get Lucky Boy because she didn't wanna walk. Wow, we're a lazy bunch, aren't we? "
negative,subdued,My roommate wants a dog 
negative,subdued,my S.O. knows more about basketball than I do 
positive,subdued,"My sat night: Cuddled up in bed, watching &quot;Clueless&quot; with my face mask, wine, and nachos. Ha  http://twitpic.com/6c3cx"
negative,subdued,"my scapegoat is the late start I got on the day, but I wish there were more time. I wanna ride my bike and play some basketball "
negative,subdued,My screw to my glasses came off 
negative,subdued,My search decks on tweetdeck are not working since yesterday  - anyone else have this problem?
negative,subdued,My search for a Pre so far is fruitless.  Going to try my local best buy soon.
negative,subdued,my search was unsuccessful 
negative,subdued,my second last day in Pune 
negative,subdued,My semi-new jacket had something paper-y in the pocket. Thought a stranger left money in it at the store. It was a week-old train ticket 
negative,subdued,"My semi-vacation is over, back to real life.  Friday, Sunday and Monday were great. Saturday not so much, but 3 out of 4 days isn't bad."
negative,subdued,My sheep has fallen down behind my taskbar 
negative,subdued,"My sheets are in the dryer  oh well, too tired to care. Bare mattress, here i come."
negative,subdued,My shoes are so wet I am tempted to go buy new ones 
positive,subdued,My shortest workout of the week but yet the one that had me sweat the most. Time to shower 
negative,subdued,my show is over til august.. nothing to watch now 
negative,subdued,my shower has made me realise what fat thighs I have 
positive,subdued,my sidekick is awkward flashing. oh well. leaving my mommy out her flowers and stuff 
positive,subdued,My singaporean coworker thought I look like an actor when he saw me on a vid conf today for the first time. Bah..we all look the same 
positive,subdued,My sis and I are freaks we just quoted the entire Finding Nemo movie to each other through texts 
positive,subdued,"my sis just called me, I've been accepted at Portsmouth University for the winter semester "
positive,subdued,My sister &amp; I are singing songs from &quot;sister act 2&quot; 
negative,subdued,My sister and brother took over my tv so i didnt get to watch twilight again  now just laying in bed watching a boring celeb rehab show
positive,subdued,My sister came to see me at work 
negative,subdued,My sister is watching a James Bond movie whilst I semi-emo; she is more of a man than me 
negative,subdued,My sister lost her job... 
positive,subdued,My sister posted the nicest video for me on facebook 
negative,subdued,"My sister, Carolyne, is leaving for Norway for a week "
negative,subdued,My sisters rabbit has pulled a claw and is bleeding everywhere 
negative,subdued,My sleep schedule is officially reversed 
negative,subdued,my sleep tonight depends on how fast i work right now 
negative,subdued,"My smartcard fell out of its holder when I was going home today. If anyone finds it, please tell me "
negative,subdued,My soldier is goin to war  Gone for a week
negative,subdued,my sole supporter is not my sole supporter 
positive,subdued,My son called from half way up a mountain..  
negative,subdued,"My son fell and got stitches in his knee.    He's going to be okay, though."
positive,subdued,My son has treated me to a yummy lunch today in Lygon st Carlton ... for my Birthday. Drove me in while on his L's - Lovely surprise 
positive,subdued,My son is a champ. He fell and busted his lip on the cement and still wants to kiss his mommy even if it hurts 
positive,subdued,My son is at IU's bball camp this week and has Matt Roth as his coach. Therefore I am expecting him to come back a much improved shooter 
positive,subdued,"my son is back to school tomorrow,his stiching is healing well "
negative,subdued,My son just sneezed/coughed a mouthful of milk straight at my wife's computer from point blank.   Great day so far.  
negative,subdued,My son just tried to flush a water pistol down the toilet. Nice. 
negative,subdued,My son never calls. 
negative,subdued,"Which audio filetype do I have to record to embed it in HTML for Safari Mobile? CAF, MA4, AIFF and AAC didn't work  #iphone #iphonedev"
positive,subdued,Which celebrities are worth following? Interesting tweeters pls  
positive,subdued,Which Harvest moon games is the best? 
negative,subdued,"Which iPhone Twitter client supports groups like Nambu for OS X does? Is there any? TwitterFon Pro, Tweetie, Twitterific don't.  ?"
negative,subdued,which is another reason why i dont like walking nowhere. 
positive,subdued,which made me realize how much I love Harry Potter..
positive,subdued,which moments are those exactly?  not everyone is like jon &amp; kate or the divorce rate would be a lot higher
negative,subdued,Which one's better: Spend the evening at home mooning over a guy or go watch a movie by myself? Hmm..movie? 
positive,subdued,which will make me sleepy  and high maybe
negative,subdued,While boys play I collect mosquito bites.   http://twitpic.com/4ygz5
negative,subdued,"while brushing my teeth, i somehow managed to fling my toothbrush into the toilet "
positive,subdued,"While each batch of Fiddleheads gets canned/sealed (every 10 min)... I'm checking out others work... right now, Northernlight Filmworks "
positive,subdued,"While getting ready for work, I found a really pretty bedspread set that matches the walls and rugs in my room. Multi-tasking "
positive,subdued,While getting this oil change we are gonna try a lil ff...so work with me people k 
negative,subdued,"while helping Rodney put up a fence at my mom's place, I got a lovely (not) sunburn.  Why don't I ever think of sunscreen? "
negative,subdued,"While I am all about it, I sometimes think contacting my representative (Burris) will only get my cause laughed at in the senate. "
positive,subdued,"While I await  a response from the almighty twitterverse, I have to run out to the post office "
positive,subdued,"While munching on your baked treats like I am about to embark on soon, check out the lovely boys and I on Channel 4 tonight. "
negative,subdued,while putting my feet up I think I stained my sofa with antibacterial ointment  I had to put on some in the back of my ankels I hurt mself
negative,subdued,"While running really fast in the back yard, I wiped out. Crashed into the fence. Now my lip &amp; my nose are really ouchy. "
negative,subdued,while stirring coffee ~ i should practice mindfulness - shirt would still be clean  #senryu
positive,subdued,"While the erratic thumping continues in my side, I do believe I'm going to books a million. "
negative,subdued,"while the new #Tweetdeck updates are good, I am not able 2 minimize the app to the system tray. It used 2 happen with d earlier version. "
negative,subdued,"While uploading, let's get some work done in Readme files, I hate Readme files, my english is so poor  really hoping clients forgive me."
positive,subdued,While waiting on the download for DragonSky...watching Fever Pitch..such a sweet movie 
negative,subdued,"while working out moving average, smoothing and other forecasting methods, miss sniff and sneeze visited me. "
negative,subdued,"While y'all are slumbering, I'm getting up to go to work.  "
positive,subdued,While You Were Sleeping @Katchooo has written about her 4am photo experience http://is.gd/r5D3 
negative,subdued,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
negative,subdued,"whising i didn't have feelings for certin person, of all the things in life how do i tell my best friend george i'm in love with him "
positive,subdued,"Whiskey tasting with some friends, had a great 12 yr BenRiach. Lightly smokey, but nice and smooth it was beautiful "
positive,subdued,White castle's after our last game. Chillin with my mcc homies. It doesn't get much better right now. 
negative,subdued,"White legs, need sunscreen, or aloe later "
positive,subdued,whittled wedding invitation RSVP list to 46 people. meaning that 4 dozen for everything is my perfect number. check 
positive,subdued,who agrees the world is currently upside down 
negative,subdued,Who am i kidding. Nowadays i party more like a rock than a rockstar 
positive,subdued,who are some good people to follow?? any ideas anyone?? 
positive,subdued,who are you going swimming with man? that sounds fun. even tho i cant. haha I learned all the new Green Day songs on guitar just now 
negative,subdued,who can access PPP here? I can't since this morning  http://plurk.com/p/xtpfy
negative,subdued,Who can help me post Twitter feeds on my blog -I'm not winning  I did take my light switch off now to find a new one store didnt have it
positive,subdued,"Who can test my site on IE6, IE7, IE8 ? But work on Firefox, Opera, Chrome, Safari, ... Please contact me "
negative,subdued,Who goes to a wedding alone? Yea... thats right... me.  wish me luck.
positive,subdued,Who hasnt seen that picture of me in a locker? 
positive,subdued,who here wants to see a seventh hockey team in Canada? 
negative,subdued,"Went to sleep in my bed, woke up on the couch/Maybe it will rain /Maybe I will receive a large sum of money from somewhere/Maybe not. "
positive,subdued,Went to the #dforum festival.Very interesting.Canon *CPS cleaned Equipment.No win in the sweepstake  still saving up for that #5DmarkII
positive,subdued,"went to the flea market to get scrubs not bad $3 each,good deal &amp;  now,finally resting....home sweet home "
positive,subdued,Went to the mall to buy a suit and left with a 24in apple monitor and no suit. 
positive,subdued,"went to the ocean today, I am sad to admit that I hadn't seen it/smelled it/felt it in over 4.5 years. "
negative,subdued,Went to the terrace to capture some brilliant lightning. And then it starting raining 
negative,subdued,Went to the vending maching to get Bugles. No Bugles  Perhaps it is a sign that I don't need the snack anyway.
positive,subdued,"Went to visit a preservation center for fish otters and storks. Very nice.I was there last time in 1978,same age as my elder daughter now "
negative,subdued,Went to Wal-Mart looking for a tshirt with wolves howling at the moon... Didn't find one 
negative,subdued,"Were contemplating going back for Youth Service tonight but can't find a driver for the cottage Van, Disabled taxis are also unreliable "
negative,subdued,We're down due to hardware failure...  we'll be back online shortly
positive,subdued,We're getting ready to ge shopping - in diapers  Need to get some shorts and skirt for summer vacation...
